symbol,name,price,priceChange,percentChange,exchangeName,exShortName,exchangeCode,marketPlace,sector,industry,volume,openPrice,dayHigh,dayLow,MarketCap,MarketCapAllClasses,peRatio,prevClose,dividendFrequency,dividendYield,dividendAmount,dividendCurrency,beta,eps,exDividendDate,shortDescription,longDescription,website,email,phoneNumber,fullAddress,employees,shareOutStanding,totalDebtToEquity,totalSharesOutStanding,sharesESCROW,vwap,dividendPayDate,weeks52high,weeks52low,alpha,averageVolume10D,averageVolume30D,averageVolume50D,priceToBook,priceToCashFlow,returnOnEquity,returnOnAssets,day21MovingAvg,day50MovingAvg,day200MovingAvg,dividend3Years,dividend5Years,datatype,__typename
AOI,Africa Oil Corp.,1.01,-0.01,-0.980392,Toronto Stock Exchange,TSX,TSX,,Energy,Oil & Gas,6160,1.0,1.01,1.0,475926564,476669305,,1.02,,,,,1.750817,-0.75999999,,Africa Oil Corp is a Canada based international oil and gas exploration company.,"Africa Oil Corp is a Canada based international oil and gas exploration company. It is an exploration stage enterprise that participates in oil and gas projects located in emerging markets, in sub-Saharan Africa. The company operates in the business segment of international oil and gas exploration, and geographically, it operates in Kenya and Ethiopia.",https://www.africaoilcorp.com,,+1 604 689-7842,"885 West Georgia Street, Suite 2000, Vancouver, BC, CA",39,471214419,0.3,471949806,0.0,1.00393442,,1.66,0.71,-0.010495,83580,74358.0,55551.0,0.552,,-33.87,-29.2,1.09095,1.1043,1.1372,,,equity,Company
AFN,Ag Growth International Inc.,35.64,0.26,0.734878,Toronto Stock Exchange,TSX,TSX,,Industrials,Farm & Heavy Construction Machinery,2905,35.19,35.64,35.19,666777641,666778425,,35.38,Quarterly,1.696,0.15,CAD,2.681749,-2.43000006,2020-06-29 00:00:00.0,"Ag Growth International Inc manufactures portable and stationary grain handling, storage and conditioning equipment, including augers, belt conveyors, grain storage bins, grain handling accessories,...","Ag Growth International Inc manufactures portable and stationary grain handling, storage and conditioning equipment, including augers, belt conveyors, grain storage bins, grain handling accessories, grain aeration equipment and grain drying systems. The company operates mainly in Portable handling, permanent handling, storage and conditioning, livestock and manufacturing sectors. The company owns brands like batco, wheatheart, westfield, storm, rem, hi roller, union iron, hsi, tramco, ptm, vis, nuvision, twister, grain guard, airlanco, westeel, frame, entringer. It has manufacturing facilities in Canada, the United States, Italy, Brazil, and the United Kingdom. Western Canada region generates most of the company's revenue.",http://www.aggrowth.com,steve@aggrowth.com,+1 204 489-1855,"198 Commerce Drive, Winnipeg, MB, CA",2780,18708688,2.65,18708710,,35.4659258,2020-07-15,48.07,15,0.003757,62630,69372.0,65198.0,2.055,9.8,-12.15,-3.03,35.71905,32.061,33.15732,-3.4,-1.63,equity,Company
AGF.B,AGF Management Limited Class B Non-Voting Shares,5.1,0.01,0.196464,Toronto Stock Exchange,TSX,TSX,,Financial Services,Asset Management,5303,5.1,5.1,5.07,399637571,397206498,7.6,5.09,Quarterly,6.287,0.08,CAD,2.48771,0.670000016,2020-07-09 00:00:00.0,"AGF Management is a Canadian-based asset manager with operations and investments in Canada, the United States, the United Kingdom, Ireland, and Asia. At the end of May 2020, the firm had CAD 36.","AGF Management is a Canadian-based asset manager with operations and investments in Canada, the United States, the United Kingdom, Ireland, and Asia. At the end of May 2020, the firm had CAD 36.3 billion in total assets under management. AGF Management's funds are weighted more heavily toward equities, with just under two thirds of retail AUM being equity related. That said, the company does use fundamental, quantitative and alternative strategies to manages its investment funds. AGF Management has a more meaningful portion of its business tied to institutional clients than its peers, with 34% of AUM derived from institutional and subadvised accounts. The company also derives 15% of its managed assets from high-net-worth clients.",https://www.agf.com,InvestorRelations@agf.com,+1 416 865-4199,"66 Wellington Street West, Suite 3100, 31st Floor, Toronto, ON, CA",629,78360308,0.24,77883627,,5.09134611,2020-07-20,7.26,2.5,-0.000425,156634,162989.0,170063.0,0.433,6.6,5.75,3.92,5.18714,5.14161,5.05792,0,-12.17,equity,Company
AJX,AgJunction Inc.,0.37,0.0,0.0,Toronto Stock Exchange,TSX,TSX,,Technology,Hardware,0,,,,43316853,44803996,,0.37,,,,,2.510052,-0.079999998,,AgJunction Inc engages in the provision of hardware and software solutions for agriculture.,"AgJunction Inc engages in the provision of hardware and software solutions for agriculture. The firm is engaged in precision agriculture business and develops products to enhance the efficiency and productivity of agricultural activities through the use of technology. It designs, manufactures, and markets products and applications incorporating technologies that provide automation and navigation solutions through the integration of global navigation satellite systems (GNSS) positioning, and other technologies for precision machine guidance, steering, and flow control. It operates through the agriculture products segment. Its products offer positioning and machine control capabilities for the agriculture sector, including machine control and auto-steering systems.",http://www.corp.agjunction.com,CorpInfo@AgJunction.com,+1 480 291-5768,"9150 E. Del Camino Drive, Suite 109, Scottsdale, AZ, US",65,117072573,0.03,121091881,,0.367787,,0.58,0.055,0.003722,45932,25919.0,26916.0,1.276,14.9,-26.12,-18.7,0.32238,0.3272,0.26668,,,equity,Company
AIM,Aimia Inc.,3.54,-0.01,-0.28169,Toronto Stock Exchange,TSX,TSX,,Industrials,Business Services,25268,3.54,3.56,3.54,333599147,335546572,0.6,3.55,,,,,1.959526,6.13999986,,Aimia Inc.,"Aimia Inc. is a loyalty and travel consolidator focused on growing earnings though its existing investments and the targeted deployment of capital in loyalty solutions and other sub-sectors of the rapidly-expanding loyalty and travel markets. Its investments in travel loyalty include the Club Premier program in Mexico, which it jointly controls with Aeroméxico through its investment in PLM, and an investment alongside Air Asia in travel technology company Big Life, the operator of BIG Loyalty. Aimia also operates a loyalty solutions business, which is a well-recognized, global full-service provider of next-generation loyalty solutions for many of the world's leading brands in the retail, CPG, travel & hospitality, and financial services verticals.",http://www.aimia.com,,+1 514 205-7857,"525 Viger Avenue West, Suite 1000, Montreal, QC, CA",2000,94237047,,94787167,,3.54880478,,4.02,1.6,0.001545,130902,130166.0,156821.0,0.587,11.3,33.57,-2.3,3.43095,3.2596,3.0461,,,equity,Company
BOS,AirBoss of America Corp.,19.14,0.24,1.269841,Toronto Stock Exchange,TSX,TSX,,Basic Materials,Chemicals,6726,18.8,19.19,18.66,447895715,447895715,34.7,18.9,Quarterly,1.481,0.07,CAD,1.298698,0.579999983,2020-09-29 00:00:00.0,"AirBoss of America Corp is a Canada based manufacturer of rubber-based products for the resource, military, automotive and industrial markets.","AirBoss of America Corp is a Canada based manufacturer of rubber-based products for the resource, military, automotive and industrial markets. Its activities are organized in the segments of Rubber Solutions, Engineered Products and Corporate. The Rubber Solutions segment includes manufacturing and distribution of rubber compounds and distribution of rubber compounding related chemicals. Engineered Products segment includes the manufacture and distribution of personal protection and safety products primarily for CBRN hazards and semi-finished rubber related products and includes the manufacture and distribution of anti-vibration and noise dampening automotive parts. It generates maximum revenue from the Engineered Products segment and geographically from the United States.",http://www.airbossofamerica.com,info@airbossofamerica.com,+1 905 751-1188,"16441 Yonge Street, Newmarket, ON, CA",1232,23401030,0.54,23401030,,18.9308955,2020-10-15,26.67,4.59,0.002769,87238,93531.0,128144.0,2.372,8.8,7.57,3.64,20.53381,21.1914,13.49779,0.61,4.1,equity,Company
AKT.A,Akita Drilling Ltd. Class A Non-Voting Shares,0.36,0.0,0.0,Toronto Stock Exchange,TSX,TSX,,Energy,Oil & Gas,0,,,,13663587,14258949,,0.36,,,,,0.994274,-1.78999996,,"Akita Drilling Ltd is a Canadian oil and gas drilling contractor. The company is engaged in providing contract drilling services, primarily to the oil and gas industry.","Akita Drilling Ltd is a Canadian oil and gas drilling contractor. The company is engaged in providing contract drilling services, primarily to the oil and gas industry. The company owns and operates over 30 drilling rigs It is also involved in the drilling related to potash mining and the development of storage caverns.",http://www.akita-drilling.com,murray.roth@akita-drilling.com,+1 403 292-7530,"333-7th Avenue South West, Suite 1000, Calgary, AB, CA",1067,37954407,0.44,39608191,,0.368846,,1.63,0.25,-0.04475,293147,107162.0,74369.0,0.075,0.7,-31.67,-20.71,0.35881,0.3748,0.62196,,,equity,Company
AKU,Akumin Inc.,3.84,0.04,1.052632,Toronto Stock Exchange,TSX,TSX,,Healthcare,Medical Diagnostics & Research,1499,3.8,3.84,3.8,269485164,269485164,48.3,3.8,,,,,1.974574,0.119999997,,"Akumin Inc is a Canada-based company that provides freestanding, fixed-site outpatient diagnostic imaging services in the United States.","Akumin Inc is a Canada-based company that provides freestanding, fixed-site outpatient diagnostic imaging services in the United States. The company operates in Florida, Pennsylvania, Delaware, Texas, Illinois, and Kansas. It offers physicians with imaging capabilities to facilitate the diagnosis and treatment of diseases and disorders and may reduce unnecessary invasive procedures, minimizing the cost and amount of care for patients. The company's imaging procedures include MRI, CT, positron emission tomography, ultrasound, X-ray, mammography, and other diagnostic or interventional radiology procedures.",http://www.akumin.com,,+1 416 613-1391,"151 Bloor Street West, Suite 603, Toronto, ON, CA",1737,70178428,3.59,70178428,,3.83714285,,5.16,1.75,-0.005883,20968,27022.0,23665.0,1.47,7.5,2.77,0.58,3.44429,2.8766,3.47955,,,equity,Company
ASR,Alacer Gold Corp.,9.2,0.37,4.19026,Toronto Stock Exchange,TSX,TSX,,Basic Materials,Metals & Mining,272226,8.93,9.24,8.89,2712043206,2712380874,11.2,8.83,,,,,1.52877,0.730000019,,"Alacer Gold Corp is a gold mining company. The group operates in one reportable operating segment consisting of mining, development, and exploration of mineral deposits in Turkey.","Alacer Gold Corp is a gold mining company. The group operates in one reportable operating segment consisting of mining, development, and exploration of mineral deposits in Turkey. It is focused on two parts of exploration: the Copler District and Turkey Regional. Geographically, it generates maximum revenue from the Turkey business unit.",http://www.alacergold.com,info@alacergold.com,+1 303 292-1299,"7001 East Belleview Avenue, Suite 800, Denver, CO, US",660,294787305,0.37,294824008,,9.12019299,,10.82,3.5,0.023335,776007,1060014.0,1024651.0,2.233,5.4,19.62,10.74,8.61,9.2658,7.4405,,,equity,Company
AGI,Alamos Gold Inc. Class A,13.13,0.33,2.578125,Toronto Stock Exchange,TSX,TSX,,Basic Materials,Metals & Mining,181704,12.98,13.17,12.95,5139488597,5139488597,70.8,12.8,Quarterly,0.611,0.015,USD,1.507292,0.189999997,2020-09-15 00:00:00.0,"Alamos Gold Inc acquires, explores, and produces gold and other precious metals, and operates in two principal geographic areas: Canada and Mexico.","Alamos Gold Inc acquires, explores, and produces gold and other precious metals, and operates in two principal geographic areas: Canada and Mexico. The company has three operating mines in North America: the Young-Davidson Mine in Canada and the Mulatos and El Chanate Mines in Sonora, Mexico. The Young-Davidson mine is the group's largest revenue contributor, and the property also holds mineral leases and claims covering approximately 11,000 acres. Additionally, Alamos has a significant portfolio of projects in Turkey and the United States.",https://www.alamosgold.com,sparsons@alamosgold.com,+1 416 368-9932,"181 Bay Street, Brookfield Place, Suite 3910, Toronto, ON, CA",1700,391430967,0.04,391430967,,13.1142509,2020-09-30,15.52,4.43,0.020327,1074858,1057126.0,1159180.0,1.454,15.5,2.1,1.65,13.33429,13.7226,10.1259,,,equity,Company
AD.DB,Alaris Equity Partners Income Trust 5.50% convertible unsecured subordinated debentures,85.0,0.0,0.0,Toronto Stock Exchange,TSX,TSX,,,,0,,,,85000000,0,,85.0,,,,,1.286036,,,,,,,,CA,,1000000,,0,,85.333333,,105.58,60.46,-0.007225,14900,36800.0,44670.0,,,,,86.64619,86.514,88.48785,,,equity,Company
CLIQ,Alcanna Inc.,4.17,-0.01,-0.239234,Toronto Stock Exchange,TSX,TSX,,Consumer Cyclical,Retail - Cyclical,1021,4.17,4.17,4.17,167003859,167003859,18.2,4.18,,,,,1.707661,0.230000004,,Alcanna Inc.,"Alcanna Inc. is one of the largest private sector retailers of beer, wine and spirits in North America and the largest in Canada by number of stores; operating 230+ locations under the Wine and Beyond, Ace Liquor Discounters and Liquor Depot banners in Alberta and British Columbia. The Company also operates 30 Nova Cannabis retail stores in Alberta and 1 in Toronto, Ontario. Total revenues exceed $700 million a year from over 20 million transactions.",https://www.alcanna.ca,investor@alcanna.com,+1 780 944-9994,"17220 Stony Plain Road NW, Suite 101, Edmonton, AB, CA",2264,40048887,5.27,40048887,,4.17,,5.75,1.2,-0.011404,101448,126673.0,135182.0,1.829,3.9,-26.58,-7.71,4.39143,4.1018,3.4891,,,equity,Company
AH,Aleafia Health Inc.,0.53,0.0,0.0,Toronto Stock Exchange,TSX,TSX,,Healthcare,Drug Manufacturers,12663,0.52,0.53,0.52,144135146,159473919,,0.53,,,,,2.261436,-0.059999998,,Aleafia Health Inc is a vertically integrated cannabis health and wellness company which owns three cannabis product and cultivation facilities where it produces a diverse portfolio of commercially...,"Aleafia Health Inc is a vertically integrated cannabis health and wellness company which owns three cannabis product and cultivation facilities where it produces a diverse portfolio of commercially high-margin derivative products including oils, capsules and sprays. The company operates national network of medical cannabis clinics and has seen over 60,000 patients to date.",www.AleafiaHealth.com,IR@AleafiaHealth.com,+1 416 860-5665,"85 Basaltic Rd Concord, Concord, ON, CA",173,271953105,0.15,300894186,0.0,0.529130434,,1.03,0.31,0.075493,367172,510502.0,560791.0,0.408,8.1,-4.58,-3.88,0.53619,0.5569,0.54973,,,equity,Company
AXU,Alexco Resource Corp.,3.82,0.12,3.243243,Toronto Stock Exchange,TSX,TSX,,Basic Materials,Metals & Mining,47675,3.72,3.82,3.72,522609128,522609128,,3.7,,,,,1.248901,-0.079999998,,"Alexco Resource Corp is engaged in mineral exploration, and mine development and operational activities primarily in Yukon Territory, Canada.","Alexco Resource Corp is engaged in mineral exploration, and mine development and operational activities primarily in Yukon Territory, Canada. The company explores for silver, lead, zinc, and gold deposits. The firm's projects include Keno Hill Silver District, Flame and Moth, Bermingham, Lucky Queen, Bellekeno, and others.",https://www.alexcoresource.com,lmay@alexcoresource.com,+1 604 633-4888,"Two Bentall Centre, 555 Burrard Street, Suite 1225, Box 216, Vancouver, BC, CA",115,136808672,0.01,136808672,,3.78310924,,4.65,1,0.053817,382061,577503.0,655536.0,3.782,12,-6.54,-5.83,3.69476,3.6418,2.732,,,equity,Company
ALC,Algoma Central Corporation,9.9,0.0,0.0,Toronto Stock Exchange,TSX,TSX,,Industrials,Transportation,0,,,,374229336,374229336,20,9.9,Quarterly,5.253,0.13,CAD,1.01367,0.5,2020-08-17 00:00:00.0,Algoma Central Corporation is a Canadian shipping company. It operates Canadian flag fleet of dry and liquid bulk carriers operating on the Great Lakes.,"Algoma Central Corporation is a Canadian shipping company. It operates Canadian flag fleet of dry and liquid bulk carriers operating on the Great Lakes. The company operates its business through six segments that are Domestic Dry-Bulk, Product Tankers, Ocean SelfUnloaders, Corporate, Investment Properties, and Global Short Sea Shipping. The Domestic Dry-Bulk, accounts for the maximum revenue, Product Tankers, and Ocean Shipping. The dry-bulk vessels carry a cargo of raw materials such as grain, iron ore, salt and aggregates and operates throughout the Great Lakes. The product tankers manage a fleet of seven Canadian flag tanker vessels and the ocean shipping segment includes two ocean-going self-unloading vessels.",https://www.algonet.com,,+1 905 687-7888,"63 Church Street, Suite 600, St. Catharines, ON, CA",1600,37800943,0.57,37800943,,9.986765,2020-09-01,13.96,7.01,-0.007491,3213,5791.0,4491.0,0.591,3.1,2.93,1.56,10.18465,10.27062,10.6394,12.14,9.97,equity,Company
AQN,Algonquin Power & Utilities Corp.,18.59,0.23,1.252723,Toronto Stock Exchange,TSX,TSX,,Utilities,Utilities - Independent Power Producers,221627,18.48,18.67,18.48,10892859225,11010341277,14.3,18.36,Quarterly,4.467,0.1551,USD,0.308287,1.27999997,2020-09-29 00:00:00.0,"Algonquin Power & Utilities Corp is a North American generation, transmission, and distribution utility.","Algonquin Power & Utilities Corp is a North American generation, transmission, and distribution utility. Within its distribution group, Algonquin owns and operates regulated water, natural gas, and electricity distribution utilities in the United States. Most of the company's revenue is derived from this division and, in turn, most of this division's revenue comes from its distribution of natural gas. In its generation group, Algonquin sells electricity produced by its energy facilities, including hydroelectric, wind, solar, and thermal power plants. Algonquin's wind farms account for most of its generation revenue. Finally, the company's transmission group focuses on building and investing in natural gas pipelines and electric transmission systems.",http://www.algonquinpowerandutilities.com,,+1 905 465-4500,"354 Davis Road, Oakville, ON, CA",2469,585952621,1.08,592272258,,18.5816437,2020-10-15,22.39,13.84,0.013869,3335420,2088989.0,2472054.0,2.172,12.9,14.39,4.76,18.22857,18.139,18.60882,7.43,9.19,equity,Company
